Pallet: "pallet-identity", Extrinsic: "clear_identity", Steps: 10, Repeat: 100
R,S,X,time
37,50,50,716000
37,50,50,733000
37,50,50,745000
37,50,50,736000
37,50,50,742000
37,50,50,733000
37,50,50,728000
37,50,50,717000
37,50,50,740000
37,50,50,735000
37,50,50,716000
37,50,50,704000
37,50,50,730000
37,50,50,722000
37,50,50,721000
37,50,50,731000
37,50,50,720000
37,50,50,746000
37,50,50,716000
37,50,50,727000
37,50,50,736000
37,50,50,695000
37,50,50,731000
37,50,50,751000
37,50,50,725000
37,50,50,732000
37,50,50,723000
37,50,50,721000
37,50,50,727000
37,50,50,737000
37,50,50,723000
37,50,50,717000
37,50,50,743000
37,50,50,698000
37,50,50,767000
37,50,50,713000
37,50,50,792000
37,50,50,735000
37,50,50,745000
37,50,50,723000
37,50,50,727000
37,50,50,732000
37,50,50,728000
37,50,50,719000
37,50,50,742000
37,50,50,724000
37,50,50,752000
37,50,50,744000
37,50,50,725000
37,50,50,731000
37,50,50,728000
37,50,50,731000
37,50,50,716000
37,50,50,762000
37,50,50,755000
37,50,50,730000
37,50,50,725000
37,50,50,731000
37,50,50,725000
37,50,50,720000
37,50,50,724000
37,50,50,731000
37,50,50,737000
37,50,50,719000
37,50,50,736000
41,50,50,722000
41,50,50,739000
41,50,50,736000
41,50,50,743000
41,50,50,742000
41,50,50,719000
41,50,50,740000
41,50,50,881000
41,50,50,737000
41,50,50,819000
41,50,50,723000
41,50,50,730000
41,50,50,730000
41,50,50,733000
41,50,50,714000
41,50,50,720000
41,50,50,754000
41,50,50,795000
41,50,50,734000
41,50,50,724000
41,50,50,738000
41,50,50,719000
41,50,50,741000
41,50,50,727000
41,50,50,722000
41,50,50,728000
41,50,50,732000
41,50,50,736000
41,50,50,762000
41,50,50,744000
41,50,50,740000
41,50,50,739000
41,50,50,769000
41,50,50,745000
41,50,50,740000
41,50,50,739000
41,50,50,709000
41,50,50,741000
41,50,50,739000
41,50,50,717000
41,50,50,727000
41,50,50,755000
41,50,50,729000
41,50,50,735000
41,50,50,746000
41,50,50,743000
41,50,50,782000
41,50,50,739000
41,50,50,733000
41,50,50,721000
41,50,50,738000
41,50,50,791000
41,50,50,731000
41,50,50,778000
41,50,50,734000
41,50,50,722000
41,50,50,738000
41,50,50,737000
41,50,50,752000
41,50,50,740000
41,50,50,729000
41,50,50,721000
41,50,50,728000
41,50,50,730000
41,50,50,729000
41,50,50,744000
41,50,50,753000
41,50,50,747000
41,50,50,739000
41,50,50,736000
41,50,50,725000
41,50,50,744000
41,50,50,749000
41,50,50,734000
41,50,50,756000
41,50,50,782000
41,50,50,738000
41,50,50,725000
41,50,50,742000
41,50,50,740000
41,50,50,777000
41,50,50,737000
41,50,50,749000
41,50,50,743000
41,50,50,734000
41,50,50,742000
41,50,50,753000
41,50,50,753000
41,50,50,726000
41,50,50,749000
41,50,50,735000
41,50,50,737000
41,50,50,752000
41,50,50,737000
41,50,50,759000
41,50,50,727000
41,50,50,769000
41,50,50,746000
41,50,50,727000
41,50,50,749000
45,50,50,740000
45,50,50,735000
45,50,50,722000
45,50,50,759000
45,50,50,746000
45,50,50,743000
45,50,50,743000
45,50,50,748000
45,50,50,736000
45,50,50,759000
45,50,50,748000
45,50,50,755000
45,50,50,733000
45,50,50,743000
45,50,50,741000
45,50,50,732000
45,50,50,741000
45,50,50,738000
45,50,50,749000
45,50,50,746000
45,50,50,759000
45,50,50,750000
45,50,50,754000
45,50,50,746000
45,50,50,721000
45,50,50,741000
45,50,50,723000
45,50,50,776000
45,50,50,740000
45,50,50,725000
45,50,50,756000
45,50,50,744000
45,50,50,743000
45,50,50,731000
45,50,50,753000
45,50,50,752000
45,50,50,767000
45,50,50,765000
45,50,50,758000
45,50,50,741000
45,50,50,735000
45,50,50,760000
45,50,50,701000
45,50,50,734000
45,50,50,745000
45,50,50,739000
45,50,50,737000
45,50,50,740000
45,50,50,743000
45,50,50,743000
45,50,50,750000
45,50,50,735000
45,50,50,750000
45,50,50,732000
45,50,50,755000
45,50,50,746000
45,50,50,749000
45,50,50,739000
45,50,50,748000
45,50,50,741000
45,50,50,781000
45,50,50,735000
45,50,50,756000
45,50,50,747000
45,50,50,747000
45,50,50,835000
45,50,50,753000
45,50,50,739000
45,50,50,740000
45,50,50,729000
45,50,50,738000
45,50,50,768000
45,50,50,737000
45,50,50,745000
45,50,50,718000
45,50,50,742000
45,50,50,736000
45,50,50,735000
45,50,50,755000
45,50,50,765000
45,50,50,729000
45,50,50,744000
45,50,50,758000
45,50,50,737000
45,50,50,758000
45,50,50,789000
45,50,50,821000
45,50,50,738000
45,50,50,735000
45,50,50,743000
45,50,50,1053000
45,50,50,742000
45,50,50,739000
45,50,50,754000
45,50,50,813000
45,50,50,761000
45,50,50,751000
45,50,50,785000
45,50,50,734000
45,50,50,726000
25,1,50,483000
25,1,50,478000
25,1,50,454000
25,1,50,484000
25,1,50,473000
25,1,50,499000
25,1,50,484000
25,1,50,489000
25,1,50,480000
25,1,50,475000
25,1,50,479000
25,1,50,482000
25,1,50,467000
25,1,50,481000
25,1,50,493000
25,1,50,471000
25,1,50,487000
25,1,50,482000
25,1,50,518000
25,1,50,484000
25,1,50,478000
25,1,50,477000
25,1,50,492000
25,1,50,464000
25,1,50,504000
25,1,50,483000
25,1,50,644000
25,1,50,472000
25,1,50,477000
25,1,50,486000
25,1,50,473000
25,1,50,468000
25,1,50,466000
25,1,50,517000
25,1,50,512000
25,1,50,478000
25,1,50,473000
25,1,50,481000
