Pallet: "vesting", Extrinsic: "vest_other", Lowest values: [], Highest values: [], Steps: [10], Repeat: 100
b,l,extrinsic_time,storage_root_time
1,14,228000,71000
1,14,437000,71000
1,14,376000,75000
1,14,398000,71000
1,14,227000,72000
1,14,384000,71000
1,14,385000,74000
1,14,407000,72000
1,14,431000,72000
1,14,375000,74000
1,14,432000,72000
1,14,227000,71000
1,14,232000,72000
1,14,375000,71000
1,14,386000,73000
1,14,378000,78000
1,14,227000,70000
1,14,439000,72000
1,14,228000,72000
1,14,231000,70000
1,14,228000,71000
1,14,228000,72000
1,14,232000,71000
1,14,227000,70000
1,14,391000,71000
1,14,398000,77000
1,14,403000,73000
1,14,392000,75000
1,14,391000,73000
1,14,225000,72000
1,14,381000,72000
1,14,375000,71000
1,14,443000,76000
1,14,397000,70000
1,14,395000,76000
1,14,474000,98000
1,14,278000,88000
1,14,561000,93000
1,14,429000,79000
1,14,390000,76000
1,14,391000,72000
1,14,224000,70000
1,14,231000,72000
1,14,228000,73000
1,14,390000,72000
1,14,402000,71000
1,14,399000,72000
1,14,364000,74000
1,14,432000,78000
1,14,378000,77000
1,14,234000,73000
1,14,233000,73000
1,14,413000,74000
1,14,432000,75000
1,14,410000,76000
1,14,403000,72000
1,14,387000,73000
1,14,227000,71000
1,14,226000,71000
1,14,308000,73000
1,14,239000,75000
1,14,460000,71000
1,14,230000,72000
1,14,375000,77000
1,14,227000,69000
1,14,435000,73000
1,14,400000,71000
1,14,384000,71000
1,14,391000,71000
1,14,415000,75000
1,14,379000,73000
1,14,436000,74000
1,14,269000,72000
1,14,225000,72000
1,14,375000,75000
1,14,382000,77000
1,14,378000,71000
1,14,427000,79000
1,14,492000,85000
1,14,496000,86000
1,14,471000,90000
1,14,438000,83000
1,16,373000,72000
1,16,369000,76000
1,16,414000,80000
1,16,420000,86000
1,16,428000,74000
1,16,493000,75000
1,16,385000,74000
1,16,398000,73000
1,16,388000,75000
1,16,373000,70000
1,16,228000,70000
1,16,226000,72000
1,16,226000,71000
1,16,228000,72000
1,16,225000,71000
1,16,446000,71000
1,16,358000,76000
1,16,385000,70000
1,16,446000,72000
1,16,427000,70000
1,16,408000,75000
1,16,365000,69000
1,16,493000,78000
1,16,406000,76000
1,16,397000,73000
1,16,410000,76000
1,16,227000,71000
1,16,238000,73000
1,16,393000,77000
1,16,413000,88000
1,16,399000,76000
1,16,457000,81000
1,16,416000,71000
1,16,429000,77000
1,16,391000,76000
1,16,428000,80000
1,16,430000,77000
1,16,397000,72000
1,16,472000,92000
1,16,275000,85000
1,16,509000,91000
1,16,400000,72000
1,16,377000,75000
1,16,452000,95000
1,16,511000,87000
1,16,397000,83000
1,16,417000,75000
1,16,400000,73000
1,16,379000,73000
1,16,387000,75000
1,16,385000,78000
1,16,390000,82000
1,16,404000,79000
1,16,399000,74000
1,16,438000,71000
1,16,233000,71000
