Pallet: "treasury", Extrinsic: "award_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
380,27596,2319,1,5,1,2
380,28143,2276,1,5,1,2
380,27922,2228,1,5,1,2
400,27712,2250,1,5,1,2
400,27461,2305,1,5,1,2
400,27389,2321,1,5,1,2
400,27623,2305,1,5,1,2
400,27578,2302,1,5,1,2
400,27450,2281,1,5,1,2
400,27481,2281,1,5,1,2
400,27350,2204,1,5,1,2
400,27851,2241,1,5,1,2
400,27675,2275,1,5,1,2
400,27503,2265,1,5,1,2
400,27397,2255,1,5,1,2
400,27212,2271,1,5,1,2
400,27680,2250,1,5,1,2
400,27434,2250,1,5,1,2
400,27890,2292,1,5,1,2
400,27933,2219,1,5,1,2
400,27403,2170,1,5,1,2
400,27257,2273,1,5,1,2
400,27496,2232,1,5,1,2
420,27655,2231,1,5,1,2
420,27324,2314,1,5,1,2
420,27467,2267,1,5,1,2
420,27407,2250,1,5,1,2
420,27350,2226,1,5,1,2
420,27284,2377,1,5,1,2
420,27046,2229,1,5,1,2
420,27472,2182,1,5,1,2
420,27266,2279,1,5,1,2
420,27481,2277,1,5,1,2
420,27788,2259,1,5,1,2
420,27039,2211,1,5,1,2
420,27348,2225,1,5,1,2
420,27601,2275,1,5,1,2
420,27329,2233,1,5,1,2
420,27401,2296,1,5,1,2
420,27201,2189,1,5,1,2
420,27493,2258,1,5,1,2
420,27425,2248,1,5,1,2
420,27265,2228,1,5,1,2
440,27454,2200,1,5,1,2
440,27301,2224,1,5,1,2
440,27402,2278,1,5,1,2
440,27505,2349,1,5,1,2
440,27161,2227,1,5,1,2
440,27714,2262,1,5,1,2
440,27356,2214,1,5,1,2
440,27883,2283,1,5,1,2
440,27838,2229,1,5,1,2
440,27241,2235,1,5,1,2
440,27201,2274,1,5,1,2
440,27500,2233,1,5,1,2
440,27171,2213,1,5,1,2
440,27390,2251,1,5,1,2
440,27615,2306,1,5,1,2
440,27369,2214,1,5,1,2
440,27803,2229,1,5,1,2
440,27521,2261,1,5,1,2
440,27496,2163,1,5,1,2
440,27239,2293,1,5,1,2
460,27392,2163,1,5,1,2
