Pallet: "treasury", Extrinsic: "report_awesome", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
12099,73003,2284,2,8,2,3
12099,72939,2221,2,8,2,3
12099,72685,2317,2,8,2,3
12099,73284,2219,2,8,2,3
12099,72862,2285,2,8,2,3
12099,73065,2253,2,8,2,3
12099,72994,2189,2,8,2,3
12099,76078,2289,2,8,2,3
12099,73332,2233,2,8,2,3
12099,73422,2125,2,8,2,3
12099,73230,2212,2,8,2,3
12099,72885,2251,2,8,2,3
12099,72716,2266,2,8,2,3
12099,72612,2226,2,8,2,3
12099,72984,2164,2,8,2,3
12099,73072,2133,2,8,2,3
12099,72927,2215,2,8,2,3
12099,73280,2220,2,8,2,3
12099,72855,2111,2,8,2,3
12426,73993,2197,2,8,2,3
12426,73491,2309,2,8,2,3
12426,73683,2299,2,8,2,3
12426,73987,2260,2,8,2,3
12426,73963,2256,2,8,2,3
12426,73679,2167,2,8,2,3
12426,74123,2233,2,8,2,3
12426,73684,2307,2,8,2,3
12426,73552,2272,2,8,2,3
12426,73229,2228,2,8,2,3
12426,72992,2189,2,8,2,3
12426,73359,2132,2,8,2,3
12426,73282,2211,2,8,2,3
12426,73135,2200,2,8,2,3
12426,73145,2216,2,8,2,3
12426,73116,2208,2,8,2,3
12426,73589,2249,2,8,2,3
12426,73199,2311,2,8,2,3
12426,73258,2214,2,8,2,3
12426,73480,2285,2,8,2,3
12753,73998,2232,2,8,2,3
12753,74245,2374,2,8,2,3
12753,73990,2301,2,8,2,3
12753,73829,2352,2,8,2,3
12753,74380,2291,2,8,2,3
12753,73946,2209,2,8,2,3
12753,74100,2233,2,8,2,3
12753,77591,2309,2,8,2,3
12753,74081,2339,2,8,2,3
12753,74225,2250,2,8,2,3
12753,74086,2276,2,8,2,3
12753,73539,2180,2,8,2,3
12753,73715,2274,2,8,2,3
12753,74088,2234,2,8,2,3
12753,73711,2227,2,8,2,3
12753,74179,2221,2,8,2,3
12753,74153,2276,2,8,2,3
12753,74073,2256,2,8,2,3
12753,73965,2281,2,8,2,3
12753,74155,2241,2,8,2,3
13080,75095,2252,2,8,2,3
