Pallet: "treasury", Extrinsic: "cancel_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
460,64795,2409,2,13,3,3
460,65152,2317,2,13,3,3
460,65339,2319,2,13,3,3
460,65493,2356,2,13,3,3
460,64795,2290,2,13,3,3
460,65098,2304,2,13,3,3
460,64826,2317,2,13,3,3
460,65488,2267,2,13,3,3
460,65318,2339,2,13,3,3
460,64803,2353,2,13,3,3
460,65307,2268,2,13,3,3
460,65403,2348,2,13,3,3
460,66092,2323,2,13,3,3
460,65219,2395,2,13,3,3
460,65422,2311,2,13,3,3
460,65108,2281,2,13,3,3
460,65368,2301,2,13,3,3
460,65909,2323,2,13,3,3
480,66846,2463,2,13,3,3
480,65973,2413,2,13,3,3
480,66815,2405,2,13,3,3
480,65994,2357,2,13,3,3
480,66415,2369,2,13,3,3
480,66277,2354,2,13,3,3
480,66428,2468,2,13,3,3
480,66688,2354,2,13,3,3
480,66075,2414,2,13,3,3
480,66242,2318,2,13,3,3
480,66563,2339,2,13,3,3
480,66045,2419,2,13,3,3
480,66249,2473,2,13,3,3
480,66644,2373,2,13,3,3
480,66596,2447,2,13,3,3
480,66327,2437,2,13,3,3
480,66084,2431,2,13,3,3
480,66331,2402,2,13,3,3
480,66244,2436,2,13,3,3
480,66109,2453,2,13,3,3
500,65809,2430,2,13,3,3
500,65247,2329,2,13,3,3
500,65207,2373,2,13,3,3
500,65606,2414,2,13,3,3
500,65815,2359,2,13,3,3
500,65519,2376,2,13,3,3
500,65610,2275,2,13,3,3
500,65806,2388,2,13,3,3
500,65556,2370,2,13,3,3
500,66241,2514,2,13,3,3
500,65524,2422,2,13,3,3
500,65542,2323,2,13,3,3
500,65420,2270,2,13,3,3
500,65244,2380,2,13,3,3
500,65599,2294,2,13,3,3
500,65559,2315,2,13,3,3
500,66095,2323,2,13,3,3
500,65714,2249,2,13,3,3
500,65573,2396,2,13,3,3
500,65554,2293,2,13,3,3
520,65484,2504,2,13,3,3
520,65415,2439,2,13,3,3
520,65788,2374,2,13,3,3
520,65729,2439,2,13,3,3
520,65568,2444,2,13,3,3
520,65442,2393,2,13,3,3
520,65910,2473,2,13,3,3
520,66064,2456,2,13,3,3
520,65717,2391,2,13,3,3
520,65881,2540,2,13,3,3
520,65144,2462,2,13,3,3
520,65629,2383,2,13,3,3
520,65610,2394,2,13,3,3
520,65794,2333,2,13,3,3
520,65860,2342,2,13,3,3
520,65393,2362,2,13,3,3
520,65191,2372,2,13,3,3
520,64960,2476,2,13,3,3
520,65643,2471,2,13,3,3
520,65883,2274,2,13,3,3
540,65986,2437,2,13,3,3
540,65738,2435,2,13,3,3
540,65668,2337,2,13,3,3
540,65436,2369,2,13,3,3
540,65667,2300,2,13,3,3
540,65948,2343,2,13,3,3
540,65528,2321,2,13,3,3
540,65443,2308,2,13,3,3
540,65529,2387,2,13,3,3
540,65239,2299,2,13,3,3
540,65728,2368,2,13,3,3
540,65976,2332,2,13,3,3
540,65793,2373,2,13,3,3
540,65484,2335,2,13,3,3
540,65680,2313,2,13,3,3
540,65923,2313,2,13,3,3
540,65644,2324,2,13,3,3
540,65287,2358,2,13,3,3
540,65732,2247,2,13,3,3
540,65613,2368,2,13,3,3
560,65891,2331,2,13,3,3
560,65603,2438,2,13,3,3
560,65706,2290,2,13,3,3
560,65637,2300,2,13,3,3
560,65403,2348,2,13,3,3
560,64950,2292,2,13,3,3
560,65418,2393,2,13,3,3
560,65476,2327,2,13,3,3
560,65585,2267,2,13,3,3
560,65268,2358,2,13,3,3
560,65705,2409,2,13,3,3
560,66003,2324,2,13,3,3
560,65608,2334,2,13,3,3
560,65517,2341,2,13,3,3
560,65379,2313,2,13,3,3
560,65292,2288,2,13,3,3
560,65076,2389,2,13,3,3
560,65641,2304,2,13,3,3
560,65270,2401,2,13,3,3
560,65819,2344,2,13,3,3
580,65076,2398,2,13,3,3
580,65759,2287,2,13,3,3
580,64787,2277,2,13,3,3
580,65279,2380,2,13,3,3
580,65555,2347,2,13,3,3
580,65494,2418,2,13,3,3
580,64579,2317,2,13,3,3
580,65050,2176,2,13,3,3
580,64925,2332,2,13,3,3
580,64869,2336,2,13,3,3
580,65024,2258,2,13,3,3
580,65141,2261,2,13,3,3
580,64782,2333,2,13,3,3
580,65072,2288,2,13,3,3
580,65110,2287,2,13,3,3
580,65368,2321,2,13,3,3
580,64976,2248,2,13,3,3
580,65157,2295,2,13,3,3
580,65374,2303,2,13,3,3
580,65293,2237,2,13,3,3
600,66128,2432,2,13,3,3
600,65858,2411,2,13,3,3
600,65438,2439,2,13,3,3
600,65797,2446,2,13,3,3
600,65604,2385,2,13,3,3
600,65801,2390,2,13,3,3
600,66224,2360,2,13,3,3
600,65413,2322,2,13,3,3
600,65795,2349,2,13,3,3
600,65732,2418,2,13,3,3
600,65730,2366,2,13,3,3
600,65698,2348,2,13,3,3
600,66010,2333,2,13,3,3
600,66129,2376,2,13,3,3
600,66356,2331,2,13,3,3
600,65901,2350,2,13,3,3
600,66089,2408,2,13,3,3
600,66263,2404,2,13,3,3
600,65829,2420,2,13,3,3
600,65532,2363,2,13,3,3
620,65937,2388,2,13,3,3
620,65765,2350,2,13,3,3
620,65634,2358,2,13,3,3
620,65472,2341,2,13,3,3
620,65988,2342,2,13,3,3
620,65963,2346,2,13,3,3
620,65557,2314,2,13,3,3
620,65852,2300,2,13,3,3
620,66342,2421,2,13,3,3
620,65821,2343,2,13,3,3
620,65634,2385,2,13,3,3
620,65451,2380,2,13,3,3
620,65444,2381,2,13,3,3
620,65857,2341,2,13,3,3
620,66117,2358,2,13,3,3
620,65012,2243,2,13,3,3
620,65427,2313,2,13,3,3
620,65842,2334,2,13,3,3
620,65536,2422,2,13,3,3
620,79292,2371,2,13,3,3
640,65316,2398,2,13,3,3
640,65788,2357,2,13,3,3
640,65416,2346,2,13,3,3
640,65953,2338,2,13,3,3
640,65212,2367,2,13,3,3
640,65710,2380,2,13,3,3
640,65658,2385,2,13,3,3
640,65459,2384,2,13,3,3
640,65325,2409,2,13,3,3
640,65467,2369,2,13,3,3
640,65976,2327,2,13,3,3
640,65292,2389,2,13,3,3
640,65186,2290,2,13,3,3
640,65089,2418,2,13,3,3
640,65415,2278,2,13,3,3
640,65083,2384,2,13,3,3
640,65347,2387,2,13,3,3
640,64949,2374,2,13,3,3
640,65054,2302,2,13,3,3
640,65054,2351,2,13,3,3
660,65108,2396,2,13,3,3
660,68203,2388,2,13,3,3
660,65173,2283,2,13,3,3
660,65232,2361,2,13,3,3
660,65307,2370,2,13,3,3
660,65310,2331,2,13,3,3
660,65528,2351,2,13,3,3
660,65474,2304,2,13,3,3
660,64993,2350,2,13,3,3
660,66207,2316,2,13,3,3
660,65443,2403,2,13,3,3
660,65577,2294,2,13,3,3
660,68536,2243,2,13,3,3
660,65542,2333,2,13,3,3
660,65206,2309,2,13,3,3
660,65873,2341,2,13,3,3
660,65015,2277,2,13,3,3
660,65620,2254,2,13,3,3
660,64937,2258,2,13,3,3
660,65632,2424,2,13,3,3
680,65552,2320,2,13,3,3
680,65541,2406,2,13,3,3
680,65562,2303,2,13,3,3
680,65427,2422,2,13,3,3
680,65509,2314,2,13,3,3
680,65398,2318,2,13,3,3
680,65456,2283,2,13,3,3
680,65368,2259,2,13,3,3
680,65300,2317,2,13,3,3
680,65422,2338,2,13,3,3
680,65477,2302,2,13,3,3
680,65823,2231,2,13,3,3
680,65564,2305,2,13,3,3
680,65617,2359,2,13,3,3
680,65498,2346,2,13,3,3
680,64815,2436,2,13,3,3
680,65155,2410,2,13,3,3
680,65460,2367,2,13,3,3
680,65209,2311,2,13,3,3
680,65594,2307,2,13,3,3
700,65807,2293,2,13,3,3
700,65339,2216,2,13,3,3
700,65387,2334,2,13,3,3
700,65514,2339,2,13,3,3
700,65392,2276,2,13,3,3
700,65615,2303,2,13,3,3
700,66517,2359,2,13,3,3
700,65630,2380,2,13,3,3
700,65256,2322,2,13,3,3
700,65605,2266,2,13,3,3
700,65618,2356,2,13,3,3
700,64811,2261,2,13,3,3
700,65451,2381,2,13,3,3
700,65445,2357,2,13,3,3
700,64986,2387,2,13,3,3
700,65628,2331,2,13,3,3
700,66109,2213,2,13,3,3
700,66311,2384,2,13,3,3
700,65716,2303,2,13,3,3
700,66248,2361,2,13,3,3
720,65456,2344,2,13,3,3
720,65823,2343,2,13,3,3
720,65722,2317,2,13,3,3
720,65858,2301,2,13,3,3
720,66134,2279,2,13,3,3
720,65525,2288,2,13,3,3
720,65249,2358,2,13,3,3
720,65904,2422,2,13,3,3
720,66406,2402,2,13,3,3
720,65644,2405,2,13,3,3
720,65393,2286,2,13,3,3
720,65071,2307,2,13,3,3
720,65511,2380,2,13,3,3
720,65707,2321,2,13,3,3
720,65411,2265,2,13,3,3
720,65522,2400,2,13,3,3
720,65711,2361,2,13,3,3
720,65824,2337,2,13,3,3
720,65899,2387,2,13,3,3
720,78827,2326,2,13,3,3
740,66015,2372,2,13,3,3
740,65391,2248,2,13,3,3
740,65884,2265,2,13,3,3
740,65810,2312,2,13,3,3
740,65438,2316,2,13,3,3
740,65462,2354,2,13,3,3
740,65797,2383,2,13,3,3
740,65071,2275,2,13,3,3
740,65593,2313,2,13,3,3
740,65392,2351,2,13,3,3
740,69137,2322,2,13,3,3
740,66015,2283,2,13,3,3
740,65814,2319,2,13,3,3
740,65673,2330,2,13,3,3
740,65617,2308,2,13,3,3
740,65165,2327,2,13,3,3
740,65747,2322,2,13,3,3
740,65448,2314,2,13,3,3
740,65524,2302,2,13,3,3
740,65260,2260,2,13,3,3
760,65973,2362,2,13,3,3
760,65310,2298,2,13,3,3
760,65752,2349,2,13,3,3
760,66027,2326,2,13,3,3
760,65649,2322,2,13,3,3
760,65970,2374,2,13,3,3
760,65878,2324,2,13,3,3
760,65573,2345,2,13,3,3
760,65766,2319,2,13,3,3
760,65677,2444,2,13,3,3
760,65780,2305,2,13,3,3
760,65817,2363,2,13,3,3
760,65923,2336,2,13,3,3
760,65771,2254,2,13,3,3
760,65614,2227,2,13,3,3
760,66279,2246,2,13,3,3
760,65637,2222,2,13,3,3
760,65606,2355,2,13,3,3
760,65418,2343,2,13,3,3
760,65621,2309,2,13,3,3
780,65661,2366,2,13,3,3
780,65859,2426,2,13,3,3
780,65843,2344,2,13,3,3
780,66293,2252,2,13,3,3
780,66130,2396,2,13,3,3
780,65449,2309,2,13,3,3
780,65240,2308,2,13,3,3
780,65919,2373,2,13,3,3
780,65403,2389,2,13,3,3
780,65816,2412,2,13,3,3
780,65656,2378,2,13,3,3
780,65418,2327,2,13,3,3
780,65197,2429,2,13,3,3
780,65314,2327,2,13,3,3
780,66200,2346,2,13,3,3
780,65421,2284,2,13,3,3
780,65583,2411,2,13,3,3
780,65386,2326,2,13,3,3
780,65305,2333,2,13,3,3
780,66081,2385,2,13,3,3
800,65597,2306,2,13,3,3
800,65614,2216,2,13,3,3
800,65573,2389,2,13,3,3
800,65151,2279,2,13,3,3
800,65557,2233,2,13,3,3
800,65933,2364,2,13,3,3
800,65334,2262,2,13,3,3
800,65587,2308,2,13,3,3
800,65027,2320,2,13,3,3
800,65662,2331,2,13,3,3
800,65307,2284,2,13,3,3
800,65564,2241,2,13,3,3
800,65174,2392,2,13,3,3
800,65108,2303,2,13,3,3
800,65295,2387,2,13,3,3
800,65824,2298,2,13,3,3
800,65635,2245,2,13,3,3
800,66209,2359,2,13,3,3
800,65772,2283,2,13,3,3
800,65422,2339,2,13,3,3
820,65941,2323,2,13,3,3
820,65288,2354,2,13,3,3
820,65959,2299,2,13,3,3
820,65359,2274,2,13,3,3
820,65125,2334,2,13,3,3
820,65633,2258,2,13,3,3
820,65736,2360,2,13,3,3
820,65876,2358,2,13,3,3
820,66218,2341,2,13,3,3
820,65162,2313,2,13,3,3
820,65188,2322,2,13,3,3
820,65076,2381,2,13,3,3
820,65184,2352,2,13,3,3
820,65474,2355,2,13,3,3
820,65651,2379,2,13,3,3
820,65460,2280,2,13,3,3
820,65439,2366,2,13,3,3
820,65437,2364,2,13,3,3
820,65676,2450,2,13,3,3
820,78956,2366,2,13,3,3
840,65859,2286,2,13,3,3
840,65346,2367,2,13,3,3
840,66063,2319,2,13,3,3
840,65550,2369,2,13,3,3
840,65669,2351,2,13,3,3
