Pallet: "elections", Extrinsic: "phragmen", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,e,extrinsic_time,storage_root_time
48,500,16,97033195,230428
48,500,16,96814416,228000
48,500,16,96747059,258870
48,500,16,96858311,227501
49,500,16,96857064,234531
49,500,16,96900577,233505
49,500,16,96912721,235278
49,500,16,96985772,237982
49,500,16,96969709,235933
49,500,16,96987443,235242
49,500,16,97021750,236212
49,500,16,96965756,234484
49,500,16,96943968,235041
49,500,16,97066889,234866
49,500,16,96894412,238565
49,500,16,97171952,236640
49,500,16,96861373,234121
49,500,16,97041893,233536
49,500,16,96819734,234541
49,500,16,97057322,235209
49,500,16,97021770,236356
49,500,16,96970334,235713
49,500,16,96977743,236209
49,500,16,97169257,239494
50,500,16,96738329,239609
50,500,16,96725122,237553
50,500,16,96608424,237992
50,500,16,96723832,239626
50,500,16,96757074,240173
50,500,16,96781437,238783
50,500,16,96657264,237435
50,500,16,96611237,238291
50,500,16,96507664,237867
50,500,16,96604201,238965
50,500,16,96531272,236997
50,500,16,96719525,239024
50,500,16,96762959,242612
50,500,16,96589597,239148
50,500,16,96774116,240088
50,500,16,96816830,238681
50,500,16,96589738,239430
50,500,16,96591023,237942
50,500,16,96539636,238751
50,500,16,96700246,238409
51,500,16,97424844,245021
51,500,16,97590723,244543
51,500,16,97424064,246022
51,500,16,97517045,245706
51,500,16,97452244,245120
51,500,16,97494995,244374
51,500,16,97362387,245441
51,500,16,97507493,246333
51,500,16,97610184,245964
51,500,16,97582660,243965
51,500,16,97439804,246216
51,500,16,97538478,244725
51,500,16,97446721,245312
51,500,16,97532694,243977
51,500,16,97599895,265927
51,500,16,97594699,246047
51,500,16,97541078,246327
51,500,16,97406075,242894
51,500,16,97586732,244588
51,500,16,97554200,243858
52,500,16,97776002,254033
52,500,16,97947194,253579
52,500,16,97828488,254741
52,500,16,97920608,258146
52,500,16,97901891,254774
52,500,16,97982571,255577
52,500,16,97880288,256069
52,500,16,97898675,254615
52,500,16,97806070,256064
52,500,16,97953594,254759
52,500,16,97799511,254935
52,500,16,98039002,255034
52,500,16,97739218,253536
52,500,16,97994105,255012
52,500,16,97668133,254711
52,500,16,97857461,254373
52,500,16,97800892,254422
52,500,16,97936137,254908
52,500,16,97895789,256482
52,500,16,98015964,255404
53,500,16,98052493,256978
53,500,16,98050791,259199
53,500,16,98065119,258044
53,500,16,98049994,258362
53,500,16,98071603,259056
53,500,16,98072822,259188
53,500,16,98129840,258162
53,500,16,97975125,258221
