Pallet: "elections", Extrinsic: "report_defunct_voter_correct", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,extrinsic_time,storage_root_time
47,16,300177,63539
47,16,299324,63317
47,16,296773,63042
47,16,297716,62648
47,16,298627,63206
48,16,299490,63539
48,16,300681,62704
48,16,301840,63249
48,16,299785,62709
48,16,298969,63099
48,16,301051,63358
48,16,300384,63072
48,16,300183,63621
48,16,300556,62633
48,16,303162,63424
48,16,299320,63137
48,16,300582,63518
48,16,300588,63018
48,16,299261,62821
48,16,302295,63763
48,16,301289,62544
48,16,300726,62915
48,16,299620,63008
48,16,301158,63237
48,16,300371,63126
49,16,302616,62656
49,16,302248,63087
49,16,296893,62548
49,16,297865,62735
49,16,297300,63041
49,16,302551,63258
49,16,302605,63054
49,16,301269,63084
49,16,301409,62905
49,16,301177,62856
49,16,301493,62481
49,16,302185,63441
49,16,302197,63095
49,16,302088,62910
49,16,301680,63220
49,16,301422,63048
49,16,300835,63104
49,16,301375,63268
49,16,302221,65544
49,16,302478,62957
50,16,302877,63097
50,16,301639,62884
50,16,303993,62748
50,16,304526,62999
50,16,302501,62853
50,16,305510,63319
50,16,303494,63325
50,16,303047,63188
50,16,301121,62848
50,16,306628,62227
50,16,302105,62833
50,16,302118,62668
50,16,302159,62779
50,16,302055,62454
50,16,303068,62709
50,16,302475,62893
50,16,303519,62805
50,16,302847,63413
50,16,303355,63100
50,16,302822,63269
51,16,305967,63022
51,16,305461,62805
51,16,304692,63136
51,16,304944,62946
51,16,305282,63030
51,16,304932,62707
51,16,303743,63284
51,16,304929,63136
51,16,304591,62757
51,16,307978,62904
51,16,303544,62944
51,16,305052,62931
51,16,307420,63527
51,16,305672,63418
51,16,304405,63024
51,16,308567,63241
51,16,304421,62653
51,16,304985,63483
51,16,304091,62479
51,16,305775,63365
52,16,305149,62853
52,16,308204,65958
52,16,305040,63258
52,16,306723,62962
52,16,310765,62454
52,16,306531,62909
52,16,306484,62459
52,16,308089,62953
52,16,304897,62771
52,16,306073,62493
52,16,307914,62610
52,16,302612,62846
52,16,306764,62851
52,16,305199,63546
52,16,307619,62668
52,16,306471,63380
52,16,306237,63102
52,16,306508,62686
52,16,307114,63438
52,16,306953,62705
53,16,308956,62388
53,16,308885,63014
53,16,309539,62764
53,16,307545,63109
53,16,309564,63121
53,16,308076,63274
53,16,307402,65927
53,16,307397,62696
53,16,306666,62748
53,16,338893,63469
53,16,306885,62556
53,16,308626,62327
53,16,307620,63183
53,16,309596,63295
53,16,307165,62960
53,16,308966,62653
53,16,307924,62604
53,16,306946,62848
53,16,303554,63411
53,16,302873,63826
54,16,310268,63362
54,16,311600,62894
54,16,310297,62634
54,16,309881,62825
54,16,308547,62249
54,16,308193,62945
54,16,308055,62706
54,16,309358,63214
54,16,308915,63676
54,16,311565,62901
54,16,309824,63190
54,16,308164,62186
54,16,311326,63099
54,16,307468,62174
54,16,309580,62596
54,16,309240,63000
54,16,309071,62711
54,16,308182,63038
54,16,309592,63068
54,16,312495,62909
55,16,305795,62875
55,16,310407,62659
55,16,306720,62276
55,16,310536,63225
55,16,309530,62914
55,16,309269,62864
55,16,311497,62772
55,16,310117,62768
55,16,309949,62650
55,16,310212,62585
55,16,313735,63338
55,16,310682,62770
55,16,310895,63388
55,16,310367,62705
55,16,309294,63160
55,16,310387,62779
55,16,309881,62960
55,16,310845,63111
55,16,311140,62870
55,16,310502,62710
56,16,311839,63029
56,16,311096,65397
56,16,311349,62461
56,16,311535,62174
56,16,311318,62524
56,16,312602,62925
56,16,312853,63213
56,16,309010,62954
56,16,313001,62550
56,16,306584,62385
56,16,313573,62843
56,16,312973,63044
56,16,311273,63316
56,16,307916,62995
56,16,311657,62578
56,16,312977,62732
56,16,351182,63020
56,16,312255,62933
56,16,313899,62855
56,16,312915,62060
57,16,349713,63350
57,16,315113,63619
57,16,316115,62379
57,16,315260,63206
57,16,316217,62858
57,16,315690,63221
57,16,314685,62571
57,16,314323,62883
57,16,314896,62679
57,16,314602,62913
57,16,315751,63370
57,16,316752,62973
57,16,314723,62758
57,16,308934,62568
57,16,313955,62720
57,16,314163,62050
57,16,310129,63068
57,16,315432,63001
57,16,308711,62727
57,16,315274,62697
58,16,315591,62645
58,16,309727,62798
58,16,315179,63291
58,16,316102,62200
58,16,315945,63192
58,16,319235,62890
58,16,316019,62755
58,16,315870,63012
58,16,314062,62968
58,16,315724,63270
58,16,313778,63710
58,16,315950,63019
58,16,314468,63469
58,16,316022,62938
58,16,316021,66664
58,16,315659,62988
58,16,316348,62871
58,16,315436,62986
58,16,315746,63366
58,16,317648,63165
59,16,318149,63135
59,16,317723,62655
59,16,312363,62904
59,16,312947,65978
59,16,316145,63018
59,16,318712,63835
59,16,318478,63273
59,16,317537,63253
59,16,316347,62870
59,16,316761,63213
59,16,316229,63022
59,16,317677,63051
59,16,318114,63125
59,16,317975,62898
59,16,318398,63046
59,16,317684,62675
59,16,318030,62914
59,16,322842,63253
59,16,317353,63066
59,16,317465,62985
60,16,318716,63148
60,16,319046,62888
60,16,323217,63361
60,16,318191,63074
60,16,319904,63205
60,16,318968,63497
60,16,319405,62952
60,16,323093,63364
60,16,319261,62432
60,16,318396,63134
60,16,319232,62731
60,16,319330,63168
60,16,322757,63497
60,16,318027,63080
60,16,317234,63102
60,16,318368,63240
60,16,319176,63409
60,16,322269,63088
60,16,321276,62886
60,16,319893,63259
61,16,320203,63116
61,16,320736,63253
61,16,321196,64372
61,16,321993,63006
61,16,318012,63317
61,16,321186,62586
61,16,321036,63366
61,16,322029,63358
61,16,321392,63323
61,16,322584,63273
61,16,320807,63470
61,16,321928,62669
61,16,320157,62982
61,16,320988,62922
61,16,324340,63028
61,16,321971,63174
61,16,322234,63278
61,16,321083,63170
61,16,319704,62816
61,16,329643,65289
62,16,323267,63604
62,16,323092,63286
62,16,323670,63042
62,16,320625,62762
62,16,323211,63465
62,16,324489,62948
62,16,325660,63160
62,16,323172,62905
62,16,323935,63161
62,16,323890,62820
62,16,321853,63015
62,16,322757,62906
62,16,325745,62401
62,16,321309,62981
62,16,322429,63356
62,16,321948,63216
62,16,322025,63629
62,16,323755,62980
62,16,324986,63424
62,16,322534,63257
63,16,324744,63260
63,16,324565,62993
63,16,324195,62763
63,16,324586,62843
63,16,326599,62778
63,16,328045,63028
63,16,324011,62649
63,16,325092,62900
