Pallet: "offences", Extrinsic: "report_offence_grandpa", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,n,extrinsic_time,storage_root_time
57,16,595256,162005
57,16,601657,162300
57,16,600095,162091
57,16,599272,165485
57,16,601337,161969
57,16,600216,162362
57,16,603182,162065
57,16,598354,161127
57,16,599397,162020
57,16,599520,162241
57,16,592985,162579
57,16,597866,162228
57,16,601536,161543
57,16,598743,160916
57,16,597916,161868
57,16,603558,162241
57,16,599076,161354
57,16,601592,161412
57,16,597273,163539
58,16,597954,161875
58,16,600958,161442
58,16,603064,162807
58,16,597800,162108
58,16,601955,161421
58,16,601787,161120
58,16,599721,161686
58,16,594913,162096
58,16,597872,162759
58,16,594459,161976
58,16,625067,162061
58,16,598105,161602
58,16,595114,192644
58,16,601661,161868
58,16,595605,163450
58,16,599664,161573
58,16,596308,162007
58,16,597628,161470
58,16,600328,163346
58,16,595724,163414
59,16,598831,161161
59,16,604221,162804
59,16,599130,162405
59,16,598670,161520
59,16,602245,162493
59,16,599625,162011
59,16,596396,162443
59,16,597403,162331
59,16,598227,161902
59,16,600011,162128
59,16,601274,162155
59,16,602206,163459
59,16,600100,162356
59,16,596909,165071
59,16,597030,161695
59,16,600353,161474
59,16,602173,162243
59,16,601025,164346
59,16,600263,162598
59,16,595202,162840
60,16,597993,166688
60,16,599600,161453
60,16,595304,162015
60,16,603307,162380
60,16,596338,161557
60,16,597788,163703
60,16,603342,161644
60,16,597485,163534
60,16,599805,163770
60,16,600382,164254
60,16,598632,163889
60,16,600003,162270
60,16,598933,163417
60,16,598408,162805
60,16,596238,162298
60,16,594701,162859
60,16,601185,161086
60,16,596691,162592
60,16,600237,162357
60,16,598506,162746
61,16,601149,162485
61,16,602479,162706
61,16,601633,162348
61,16,598302,162090
61,16,598933,161851
61,16,600379,166346
61,16,601235,161707
61,16,596552,161991
61,16,597739,189646
61,16,598994,161563
61,16,595843,161920
61,16,604960,162369
61,16,596125,161739
61,16,599029,164258
61,16,603530,161535
61,16,597446,162587
61,16,596555,162279
61,16,604656,163443
61,16,600077,162758
61,16,599927,162623
62,16,602605,163047
62,16,596651,162886
62,16,597919,162337
62,16,604274,162504
62,16,602041,162586
62,16,601489,162865
62,16,602594,163314
62,16,599219,163181
62,16,601566,163170
62,16,598437,163310
62,16,596372,165563
62,16,598007,163795
62,16,597000,162766
62,16,603576,163517
62,16,603253,163070
62,16,601566,161581
62,16,599533,162984
62,16,597430,161927
62,16,603828,161918
62,16,606356,162100
63,16,604822,163759
63,16,604888,162120
63,16,640465,163000
63,16,597910,161870
63,16,602811,162135
63,16,603859,163192
63,16,599924,162068
63,16,603708,161928
63,16,599883,162402
63,16,600429,162662
63,16,603860,161784
63,16,599088,161262
63,16,596490,162627
63,16,602329,163368
63,16,601538,161147
63,16,597467,165128
63,16,600792,162389
63,16,601037,161626
63,16,602200,163106
63,16,599041,162959
64,16,596385,162770
64,16,601666,162249
64,16,597073,162401
64,16,602570,161279
64,16,604412,163293
64,16,597793,163412
64,16,600643,163874
64,16,604193,162067
64,16,601239,162971
64,16,597568,163393
64,16,597120,162029
64,16,602388,164608
64,16,599949,162434
64,16,598396,162504
64,16,598303,161314
64,16,602023,163444
64,16,593089,163412
64,16,601180,163772
64,16,598729,163101
64,16,600800,161314
65,16,602847,165527
65,16,598859,162705
65,16,597802,163148
65,16,601816,163338
65,16,598467,161559
65,16,600640,163965
65,16,606072,163732
65,16,604730,162825
65,16,599928,161965
65,16,634861,163331
65,16,601175,164065
65,16,597622,162664
65,16,600219,162139
65,16,602250,161818
65,16,601505,162574
65,16,603419,162518
65,16,599036,162594
65,16,603126,162153
65,16,603135,164071
65,16,600120,161607
66,16,603297,163168
66,16,601054,163535
66,16,602325,163217
66,16,603981,161609
66,16,602562,162271
66,16,605501,163339
66,16,606666,163123
66,16,602926,162356
66,16,607119,162985
66,16,603423,162199
66,16,606189,163324
66,16,607061,162331
66,16,605612,162350
66,16,606756,163348
66,16,606855,161933
66,16,602062,162324
66,16,601458,161943
66,16,604653,163176
66,16,604452,164207
66,16,607658,162357
67,16,604720,163501
67,16,604109,162041
67,16,600432,162011
67,16,603341,162890
67,16,602328,169328
67,16,602409,162453
67,16,600438,162370
67,16,605884,162099
67,16,603753,162114
67,16,601530,164293
67,16,604134,163852
67,16,602979,162999
67,16,604137,163175
67,16,602471,163477
67,16,604348,163086
67,16,604371,162862
67,16,603819,162849
67,16,609071,163157
67,16,607832,162340
67,16,599897,162147
68,16,604239,162630
68,16,602633,163138
68,16,604151,162271
68,16,604563,162839
68,16,602592,162677
68,16,606271,164136
68,16,601547,164969
68,16,600606,161860
68,16,605207,161698
68,16,605757,163536
68,16,603714,163481
68,16,597785,162086
68,16,606724,164265
68,16,602511,161698
68,16,604149,161593
68,16,604345,163227
68,16,603152,162642
68,16,601297,162684
68,16,601319,161551
68,16,601767,162950
69,16,606279,164091
