Pallet: "staking", Extrinsic: "payout_all", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
v,n,extrinsic_time,storage_root_time
    5   100     56440     209.7    0.3%
    6   100     69260       275    0.3%
    7   100     82950     435.9    0.5%
    8   100     98850      1099    1.1%
    9   100    113800      1030    0.9%
   10     1      4042     50.98    1.2%
   10     5      7956     105.3    1.3%
   10     9     12520     70.71    0.5%
   10    13     17020     126.6    0.7%
   10    17     22190     178.7    0.8%
   10    21     27740     77.82    0.2%
   10    25     33370     275.7    0.8%
   10    29     38940     164.1    0.4%
   10    33     45230     124.7    0.2%
   10    37     52330       163    0.3%
   10    41     60630     174.7    0.2%
   10    45     68210     509.4    0.7%
   10    49     76030       534    0.7%
   10    53     84290     464.5    0.5%
   10    57     93400     528.5    0.5%
   10    61    102800     526.2    0.5%
   10    65    109600     499.7    0.4%
   10    69    112400       500    0.4%
   10    73    113900     666.6    0.5%
   10    77    114900     713.4    0.6%
   10    81    110900      1054    0.9%
   10    85    109600       450    0.4%
   10    89    112900     454.8    0.4%
   10    93    112900     809.4    0.7%
   10    97    129000       832    0.6%
   10   100    130700     479.5    0.3%

Quality and confidence:
param     error
v         216.4
n         16.43

Model:
Time ~=        0
    + v    14550
    + n     1297
              µs

