Pallet: "identity", Extrinsic: "kill_identity", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,s,x,extrinsic_time,storage_root_time
50,100,5,740627,650073
50,100,5,819378,750768
50,100,5,773513,631633
50,100,5,846887,641680
50,100,5,841257,698008
50,100,5,747824,636738
50,100,5,795020,654400
50,100,5,747552,667417
50,100,5,754190,683419
50,100,5,1150250,713419
50,100,5,747859,691330
50,100,5,744265,628597
50,100,5,808599,739680
50,100,5,764488,650040
50,100,5,769223,691285
50,100,5,839291,742663
50,100,5,739125,625780
50,100,5,773278,642053
50,100,9,802672,633498
50,100,9,749948,634573
50,100,9,805137,694316
50,100,9,807847,650149
50,100,9,751074,639723
50,100,9,800017,642423
50,100,9,791375,715935
50,100,9,816701,658173
50,100,9,759214,626945
50,100,9,756511,671962
50,100,9,888455,674955
50,100,9,899025,653103
50,100,9,798347,692884
50,100,9,995294,675634
50,100,9,782747,634255
50,100,9,758600,644884
50,100,9,919041,642360
50,100,9,806236,646637
50,100,9,801629,664021
50,100,9,839258,726899
50,100,13,788435,664016
50,100,13,854445,626876
50,100,13,787868,637641
50,100,13,783723,696169
50,100,13,746196,663508
50,100,13,756861,629234
50,100,13,778816,683032
50,100,13,754145,624493
50,100,13,813351,660315
50,100,13,830662,691112
50,100,13,769961,648481
50,100,13,829086,827126
50,100,13,787938,693973
50,100,13,747517,652276
50,100,13,771731,696725
50,100,13,804257,629078
50,100,13,756903,637732
50,100,13,740165,668671
50,100,13,896947,671848
50,100,13,815179,641468
50,100,17,913738,697166
50,100,17,864553,686218
50,100,17,784198,660970
50,100,17,801194,673375
50,100,17,765397,669026
50,100,17,798292,754137
50,100,17,749637,672421
50,100,17,763484,657231
50,100,17,777822,642127
50,100,17,822367,631449
50,100,17,952757,776226
50,100,17,758128,666526
50,100,17,797852,624123
50,100,17,770016,698722
50,100,17,786314,688729
50,100,17,767136,719878
50,100,17,771877,639432
50,100,17,827921,631577
50,100,17,765210,641039
50,100,17,798688,648646
50,100,21,769644,672775
50,100,21,845032,668915
50,100,21,782081,655120
50,100,21,783837,633963
50,100,21,873919,670197
50,100,21,775125,643159
50,100,21,789659,646400
50,100,21,842398,643582
50,100,21,815358,809645
50,100,21,847010,674753
50,100,21,801383,747307
50,100,21,778094,644632
50,100,21,773380,727717
50,100,21,773725,638287
50,100,21,796558,670428
50,100,21,822154,764924
50,100,21,843720,658836
50,100,21,871781,712364
50,100,21,1162850,654066
50,100,21,769361,693576
50,100,25,780407,630375
50,100,25,876498,645423
50,100,25,783920,675767
50,100,25,792098,655856
50,100,25,790343,645970
50,100,25,823267,640957
50,100,25,885765,676248
50,100,25,818740,674915
