Pallet: "collective", Extrinsic: "propose_execute", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
m,b,extrinsic_time,storage_root_time
1000,14743,988567,53188
1000,14743,810624,46701
1000,14743,948428,64699
1000,14743,848672,46679
1000,14743,799497,42340
1000,14743,827688,47177
1000,14743,818065,50810
1000,14743,1136876,77072
1000,14743,1176937,76478
1000,14743,1141997,77099
1000,14743,1135283,80819
1000,14743,1212149,77280
1000,14743,849484,46826
1000,14743,825986,64609
1000,14743,796109,43587
1000,15562,808693,43382
1000,15562,811888,42736
1000,15562,832390,46735
1000,15562,844899,45950
1000,15562,817138,43045
1000,15562,813243,43598
1000,15562,808840,42014
1000,15562,827032,44509
1000,15562,831636,43660
1000,15562,801091,42702
1000,15562,822400,41705
1000,15562,843758,44846
1000,15562,828809,46552
1000,15562,833014,43435
1000,15562,810405,43069
1000,15562,804935,43485
1000,15562,806785,46835
1000,15562,808148,41675
1000,15562,838042,43238
1000,15562,810095,42084
1000,16381,812580,43218
1000,16381,804830,80009
1000,16381,811496,42480
1000,16381,835573,43115
1000,16381,812230,42529
1000,16381,813695,46582
1000,16381,803104,42954
1000,16381,819748,44860
1000,16381,857019,44602
1000,16381,807270,43488
1000,16381,816882,42205
1000,16381,807083,41684
1000,16381,822304,43467
1000,16381,840717,44403
1000,16381,858613,45494
1000,16381,889118,75963
1000,16381,927914,51169
1000,16381,799385,43126
1000,16381,851364,47209
1000,16381,816062,43037

Median Slopes Analysis
========

Model:
Time ~=      124
    + m    0.643
    + b    0.004
              µs

Min Squares Analysis
========

Data points distribution:
    m     b   mean µs  sigma µs       %
    1 16384     188.9     6.204    3.2%
   50 16384     220.8     1.837    0.8%
   99 16384     257.9     8.401    3.2%
  148 16384     293.6      6.71    2.2%
  197 16384       316       5.4    1.7%
  246 16384     346.3     2.033    0.5%
  295 16384     396.7      12.3    3.1%
  344 16384     416.2     10.22    2.4%
  393 16384     441.4     7.077    1.6%
  442 16384     476.8     12.58    2.6%
  491 16384     505.9     8.164    1.6%
  540 16384       552     12.31    2.2%
  589 16384     573.5     8.629    1.5%
  638 16384     612.5     7.123    1.1%
  687 16384     654.1     16.84    2.5%
  736 16384     665.9     9.598    1.4%
  785 16384     696.2     7.936    1.1%
  834 16384     734.1     9.356    1.2%
  883 16384     759.4     7.483    0.9%
  932 16384     784.9     5.797    0.7%
  981 16384     837.7     16.02    1.9%
 1000     1     762.6     19.65    2.5%
 1000   820     752.8     13.45    1.7%
 1000  1639     770.6     8.663    1.1%
 1000  2458     773.4     9.661    1.2%
 1000  3277     782.5     11.35    1.4%
 1000  4096     775.3     12.57    1.6%
 1000  4915     764.8     7.513    0.9%
 1000  5734     767.9     9.182    1.1%
 1000  6553     785.8     11.97    1.5%
 1000  7372     785.8     10.11    1.2%
 1000  8191     807.5     18.75    2.3%
 1000  9010     786.4     8.126    1.0%
 1000  9829     801.2      13.2    1.6%
 1000 10648     794.1     6.971    0.8%
 1000 11467       802     12.01    1.4%
 1000 12286       808     11.11    1.3%
 1000 13105     805.5     6.453    0.8%
 1000 13924       812     10.06    1.2%
 1000 14743     874.7        77    8.8%
 1000 15562     818.1     8.174    0.9%
 1000 16381     820.1     9.641    1.1%

Quality and confidence:
param     error
m         0.003
b             0

Model:
Time ~=    113.2
    + m     0.64
    + b    0.005
              µs

