Pallet: "staking", Extrinsic: "payout_stakers", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
n,extrinsic_time_ns,storage_root_time_ns
45,2543271,588767
45,2542430,586211
45,2548361,585869
45,2555595,589807
45,2554873,585264
45,2549293,589934
45,2543320,584426
45,2552428,588705
45,2548900,585564
45,2553672,587318
45,2567347,587854
45,2539680,592067
45,2516511,585962
45,2541573,586851
45,2547958,587401
45,2539579,588839
45,2539680,586599
46,2611471,596456
46,2627904,596218
46,2600591,597007
46,2597130,598002
46,2604359,596588
46,2632933,598720
46,2611198,596269
46,2620596,597857
46,2621274,600228
46,2640796,597469
46,2611011,598095
46,2620503,597980
46,2601247,597399
46,2612406,601315
46,2603581,598348
46,2587763,597935
46,2601058,598213
46,2594171,596142
46,2600120,601835
46,2593980,596585
47,2691846,606240
47,2658947,605487
47,2658244,602162
47,2655815,608376
47,2650797,601809
47,2660837,605343
47,2661385,607051
47,2655118,603896
47,2655037,606704
47,2657501,605116
47,2681539,604153
47,2677187,605090
47,2657114,605708
47,2671551,604065
47,2677510,605345
47,2675756,609862
47,2652951,605996
47,2668511,606009
47,2670979,603739
47,2679735,604564
48,2716295,613343
48,2713391,614085
48,2727730,613946
48,2726863,611142
48,2720861,613266
48,2707305,610826
48,2719076,612275
48,2696328,612953
48,2736970,612810
48,2721040,613262
48,2715106,611634
48,2729901,614608
48,2719212,611221
48,2692474,613285
48,2693300,615927
48,2700392,611652
48,2737824,614776
48,2735514,611215
48,2747764,610159
48,2758766,613049
49,2773673,618458
49,2778381,619865
49,2768994,619759
49,2766663,618153
49,2770403,617732
49,2785196,618596
49,2779387,618886
49,2781246,618981
49,2763355,618048
49,2774980,621419
49,2780936,620999
49,2769119,618364
49,2809569,617813
49,2770560,619659
49,2758973,616818
49,2778717,620119
49,2794228,617909
49,2759757,621391
49,2771662,648638
49,2780377,618577
50,2829230,628356
50,2847046,627738
50,2830537,627256
50,2825919,627824
50,2866137,627298
50,2843200,629609
50,2865636,627156
50,2815449,628671
50,2812795,630486
50,2808617,626825
50,2811769,626013
50,2810463,627015
50,2825996,627874
50,2815382,628501
50,2812592,626605
50,2805885,627746
50,2828182,626329
50,2820513,631202
50,2807525,631978
50,2814004,627863
51,2861082,635536
51,2861952,635421
51,2849813,633556
