Pallet: "treasury", Extrinsic: "tip_new", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,t,extrinsic_time,storage_root_time
16384,7,69180,62058
16384,7,69518,61735
16384,7,69363,62072
16384,7,68787,61812
16384,7,68888,61540
16384,7,69033,61730
16384,7,69299,61391
16384,7,69452,61457
16384,7,69194,61430
16384,8,70011,62312
16384,8,69181,61626
16384,8,69391,61310
16384,8,68984,61254
16384,8,69174,61796
16384,8,69347,61344
16384,8,69292,60958
16384,8,69494,61685
16384,8,69409,60949
16384,8,69145,61123
16384,8,69251,61202
16384,8,68879,61262
16384,8,69453,61341
16384,8,69059,61371
16384,8,70075,61855
16384,8,69319,61588
16384,8,69481,61050
16384,8,70041,61548
16384,8,69528,61406
16384,8,69080,61602
16384,9,69908,62551
16384,9,69670,61786
16384,9,69811,61698
16384,9,69471,61663
16384,9,69761,61581
16384,9,69805,61606
16384,9,69513,61562
16384,9,69482,61451
16384,9,69401,61498
16384,9,69353,61618
16384,9,69554,61165
16384,9,69280,62412
16384,9,69317,62014
16384,9,69310,61907
16384,9,69546,61367
16384,9,69587,62057
16384,9,69481,61810
16384,9,69507,61351
16384,9,69417,61988
16384,9,69430,61544
16384,10,69329,62285
16384,10,68941,61635
16384,10,69150,61028
16384,10,69007,61382
16384,10,69880,61819
16384,10,69201,61672
16384,10,69111,61275
16384,10,68899,61575
16384,10,69725,61686
16384,10,69723,61503
16384,10,69121,61040
16384,10,68970,61939
16384,10,69012,61211
16384,10,69240,61224
16384,10,69432,61646
16384,10,69313,61245
16384,10,69183,61118
16384,10,69183,61703
16384,10,69401,61378
16384,10,69394,61519
16384,11,70631,62847
16384,11,70701,61914
16384,11,70662,61097
16384,11,70535,62070
16384,11,71072,61760
16384,11,70257,61121
16384,11,70354,61643
16384,11,70029,61959
16384,11,70106,61288
16384,11,70638,61510
16384,11,70770,61106
16384,11,70193,61111
16384,11,70630,61177
16384,11,70379,61507
16384,11,70587,61279
16384,11,70683,61209
16384,11,70396,61408
16384,11,72985,61878
16384,11,70367,61091
16384,11,70009,61464
16384,12,70429,57874
16384,12,69772,57677
16384,12,69834,57715
16384,12,70580,58241
16384,12,70487,57721
16384,12,69593,58285
16384,12,69869,57567
