Pallet: "collective", Extrinsic: "execute", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,b,extrinsic_time,storage_root_time
913,1024,124669,17835
913,1024,124341,18273
913,1024,123376,18027
913,1024,120499,18088
913,1024,123455,17730
913,1024,123858,17871
913,1024,123044,17745
913,1024,123639,18171
913,1024,123294,17831
913,1024,124169,17808
913,1024,123281,17925
913,1024,123957,17835
913,1024,123344,17923
913,1024,124890,17963
913,1024,123681,17659
932,1024,126776,18288
932,1024,125972,17542
932,1024,133791,18578
932,1024,125881,17731
932,1024,127454,18138
932,1024,125737,17759
932,1024,126722,18587
932,1024,125561,17676
932,1024,129909,18417
932,1024,125518,17708
932,1024,126465,18253
932,1024,125772,17795
932,1024,126715,18343
932,1024,127011,18076
932,1024,125742,17818
932,1024,4083205,25808
932,1024,127407,17849
932,1024,129598,18515
932,1024,122309,17805
932,1024,129683,18229
951,1024,127995,17747
951,1024,128886,18410
951,1024,124048,17779
951,1024,128114,18143
951,1024,128496,17982
951,1024,127845,18049
951,1024,124909,18402
951,1024,123967,17934
951,1024,129088,18202
951,1024,127539,17466
951,1024,128693,18204
951,1024,126633,17825
951,1024,128484,18436
951,1024,128602,18481
951,1024,124038,17730
951,1024,128503,18357
951,1024,127407,17476
951,1024,124802,18265
951,1024,127555,17673
951,1024,128635,18130
970,1024,130401,18066
970,1024,129767,17962
970,1024,133591,18158
970,1024,129489,17512
970,1024,133227,18392
970,1024,129890,17813
970,1024,129771,17935
970,1024,130244,18442
970,1024,129558,17787
970,1024,129766,18051
970,1024,129308,17852
970,1024,130007,18249
970,1024,133094,18239
970,1024,129455,17478
970,1024,130585,18405
970,1024,129301,17729
970,1024,130473,18163
970,1024,130715,18066
970,1024,129430,17775
970,1024,130319,18054
989,1024,131457,17711
989,1024,131809,18050
989,1024,132088,18248
989,1024,140349,18586
989,1024,132085,18138
989,1024,131463,17862
989,1024,132161,18186
989,1024,132172,18164
989,1024,131294,17623
989,1024,128002,18343
989,1024,132369,18159
989,1024,131419,17859
989,1024,131707,18052
989,1024,131439,17642
989,1024,128184,18163
989,1024,132147,18132
989,1024,131449,17913
989,1024,131670,18270
989,1024,131865,17684
989,1024,131945,18165
1000,1,130407,18263
1000,1,129246,17584
1000,1,130188,18311
1000,1,130004,18213
1000,1,129204,17709
1000,1,129982,18277
1000,1,130286,18197
1000,1,129055,17849
1000,1,126467,18192
1000,1,129342,17666
1000,1,130650,18291
1000,1,129826,17958
1000,1,125792,17607
1000,1,129618,18423
1000,1,126324,18148
1000,1,129427,17614
1000,1,129922,17937
1000,1,130134,18402
1000,1,129576,17952
1000,1,125837,18026
1000,21,129713,17500
1000,21,130547,18261
1000,21,129740,18054
1000,21,129784,17423
1000,21,130709,18125
1000,21,130217,18289
1000,21,129937,17275
1000,21,130679,18213
1000,21,130446,17866
1000,21,130208,17968
1000,21,130521,18133
1000,21,129851,17457
1000,21,130232,18098
1000,21,131689,18287
1000,21,130169,17732
1000,21,129941,18178
1000,21,130266,18352
1000,21,129878,17905
1000,21,130153,17918
1000,21,130590,17972
1000,41,130160,18103
1000,41,126994,18108
1000,41,129390,17538
1000,41,130685,18123
1000,41,130105,18201
1000,41,129749,17428
1000,41,130730,18136
1000,41,130654,17975
1000,41,129563,17599
1000,41,130491,18289
1000,41,126542,17809
1000,41,130469,18054
1000,41,130434,18293
1000,41,129838,17544
1000,41,130386,18329
1000,41,130797,18437
1000,41,125909,17663
1000,41,130402,18432
1000,41,133201,18454
1000,41,130143,17734
1000,61,130341,18213
1000,61,129655,17762
1000,61,131016,18497
1000,61,125862,18004
1000,61,129364,17396
1000,61,126680,18083
1000,61,130528,18224
1000,61,129574,17311
1000,61,130419,18090
1000,61,130347,17949
1000,61,129913,17921
1000,61,130377,18234
1000,61,129946,17588
1000,61,126544,18184
1000,61,129965,18367
1000,61,126042,17535
1000,61,130269,18103
1000,61,126989,18346
1000,61,130419,17649
1000,61,126522,18358
1000,81,130579,18143
1000,81,129782,17888
1000,81,126927,18545
1000,81,156778,17576
1000,81,130531,18097
1000,81,130704,18327
1000,81,129761,17608
1000,81,130746,18285
1000,81,130390,17999
1000,81,129766,17706
1000,81,130329,18012
1000,81,130590,17771
1000,81,130169,17833
1000,81,126901,18061
1000,81,129573,17618
1000,81,130190,17926
1000,81,130476,18126
1000,81,129709,17344
1000,81,130143,17889
1000,81,130894,18061
1000,101,130045,17877
1000,101,130156,18258
1000,101,129878,17895
1000,101,130905,17981
1000,101,126090,18016
1000,101,126762,17600
1000,101,130802,18480
1000,101,130399,18103
1000,101,130608,17686
1000,101,130446,17889
1000,101,130584,18132
1000,101,129986,17827
1000,101,130532,18230
1000,101,126210,17818
1000,101,127112,17897
1000,101,130526,18247
1000,101,130003,17811
1000,101,130321,18219
1000,101,131120,18500
1000,101,129744,17584
1000,121,130817,18104
1000,121,130974,18003
1000,121,129947,17996
1000,121,130620,18170
1000,121,129846,17595
1000,121,130744,18227
1000,121,130439,18072
1000,121,130052,17935
1000,121,130672,18013
1000,121,130912,18237
1000,121,130151,17581
1000,121,126710,18113
1000,121,130297,17905
1000,121,129078,18031
1000,121,130473,17844
1000,121,129900,17680
1000,121,130540,17756
1000,121,127109,18313
1000,121,130042,17642
1000,121,130501,17947
1000,141,131171,18061
1000,141,130175,17506
1000,141,127403,18357
1000,141,130883,17988
1000,141,130280,17948
1000,141,130798,18034
1000,141,130185,17372
1000,141,130408,18199
1000,141,130708,18320
1000,141,130156,17780
