Pallet: "elections", Extrinsic: "report_defunct_voter_correct", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,extrinsic_time,storage_root_time
49,16,290866,63800
49,16,289717,62500
49,16,290355,63133
49,16,291515,62238
49,16,290888,63327
49,16,291540,66347
49,16,290277,63231
49,16,290774,62893
49,16,290135,62249
50,16,291774,63214
50,16,290343,62822
50,16,287416,63381
50,16,290581,62419
50,16,292474,63056
50,16,291123,62385
50,16,286122,63067
50,16,291665,62850
50,16,291018,62434
50,16,291676,62757
50,16,291907,62739
50,16,286961,63369
50,16,287125,62378
50,16,286906,62923
50,16,292357,62772
50,16,292046,62460
50,16,291827,62864
50,16,295640,62924
50,16,292629,62837
50,16,292348,63162
51,16,292627,63051
51,16,292804,63129
51,16,292578,63356
51,16,293806,63058
51,16,293078,63045
51,16,293630,62827
51,16,293917,62822
51,16,294168,62243
51,16,293445,63658
51,16,296900,62905
51,16,292796,62482
51,16,292756,62669
51,16,292842,62752
51,16,293073,62905
51,16,293097,63230
51,16,293342,63571
51,16,293825,63468
51,16,292284,62780
51,16,293282,63679
51,16,288323,62935
52,16,295460,62848
52,16,295195,62670
52,16,293587,62676
52,16,295052,63434
52,16,295221,63007
52,16,293468,62916
52,16,295787,62875
52,16,294638,62923
52,16,294887,62709
52,16,329497,63482
52,16,294711,62820
52,16,294896,62639
52,16,295583,63000
52,16,294158,63268
52,16,294568,63175
52,16,323671,63142
52,16,294331,62771
52,16,295241,62926
52,16,294953,62846
52,16,295040,63023
53,16,297356,62991
53,16,291515,63389
53,16,296035,63072
53,16,296513,62865
53,16,297722,63221
53,16,296657,62896
53,16,296619,63326
53,16,298589,63358
53,16,297309,63067
53,16,297285,63068
53,16,297858,63659
53,16,296914,62805
53,16,292458,62749
53,16,297037,63068
53,16,297603,62795
53,16,299864,63223
53,16,296809,62561
53,16,297712,63359
53,16,297211,62977
53,16,296669,63133
54,16,299056,62750
54,16,296881,62810
54,16,298650,62737
54,16,298366,62992
54,16,297467,62740
54,16,296948,62895
54,16,296337,63213
54,16,298422,62866
54,16,298165,62542
54,16,298326,62908
54,16,297414,62895
54,16,297676,61838
54,16,296668,62619
54,16,297799,63366
54,16,297332,63317
54,16,299160,63181
54,16,296354,62685
54,16,300856,62831
54,16,296479,62552
54,16,298467,62855
55,16,298096,63142
55,16,299748,62380
55,16,300010,62974
55,16,299640,63080
55,16,298691,62538
55,16,295237,62684
55,16,298801,63245
55,16,299988,63382
55,16,298939,63323
55,16,298485,63055
55,16,299191,62914
55,16,295114,63373
55,16,293861,63255
55,16,299467,63185
55,16,302731,62841
55,16,298368,62718
55,16,295412,62722
55,16,301417,62839
55,16,294317,63059
55,16,294469,62842
56,16,301354,62724
56,16,296356,63334
56,16,301396,63510
56,16,301887,62848
56,16,300773,63378
56,16,300338,62896
56,16,301046,62759
56,16,296403,63130
56,16,300322,63265
56,16,300700,62536
56,16,300598,62859
56,16,299522,62919
56,16,294730,62477
56,16,300980,63226
56,16,300676,62724
56,16,301086,63601
56,16,296253,63297
56,16,301442,63092
56,16,296729,62977
56,16,301646,62719
57,16,302830,62908
57,16,305895,63350
